ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07BCGGVF4,"Aniwon Baby Sun Cap, Lace Hat Flower Bowknot Baby Bonnet Sun Hat for Infant Toddler",Aniwon,Sports & Outdoors,$0,0,$9.99,$3.91,6.08,"2,449,465",33,53,1,Cherubaby,3.8,"""5.91"" x ""4.72"" x ""0.39""",Standard (Small),0.13
B07BZSKP9T,Aniwon Belly Sticker Pregnancy Sticker Funny Facial Expression Photo Sticker Maternity Sticker,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$4.99,$4.19,0.8,"7,162,789",,41,1,Life Dominater,,"""5.5118"" x ""3.937"" x ""1.5748""",Standard (Large),0.1036
B07CKX1GWV,Aniwon Black Mouth Mask Breathable Bear Pig Nose Teeth Cotton Mask Anime Mask for Men Women Anti-dust Cotton Face Mask,Aniwon,Beauty & Personal Care,$299.4,60,$4.99,$4.19,0.8,"99,883",,59,1,Life Dominater,,"""5.1181"" x ""4.7244"" x ""1.9685""",Standard (Large),0.0661
B0142T2K2K,Aniwon Bridal Fascinator Hair Clip Wedding Headpiece Flower Mini Pillbox Hat,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$6.99,$4.24,2.75,"10,604,630",4,55,1,Fascigirl Direct,3.8,"""4.4"" x ""4.3"" x ""1""",Standard (Large),0.02
B07JB8XK85,Aniwon Christmas Fuzzy Socks Xmas Cozy Slipper Socks Winter Warm Thick Home Socks with 3D Cute Pattern For Women Girls,Aniwon,"Clothing, Shoes & Jewelry",$419.7,30,$13.99,$5.29,8.7,"283,328",10,67,1,Life Dominater,4.6,"""1.9"" x ""6.2"" x ""11.8""",Standard (Large),0.5004
B07GV6FD98,Aniwon Christmas Fuzzy Socks Xmas Cozy Slipper Socks Winter Warm Thick Home Socks with 3D Cute Pattern For Women Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$16.89,$5.72,11.17,"886,087",40,62,1,Life Dominater,4.3,"""1.9"" x ""6.2"" x ""11.8""",Standard (Large),0.5004
B07GZDDRWM,Aniwon Christmas Fuzzy Socks Xmas Cozy Slipper Socks Winter Warm Thick Home Socks with 3D Cute Pattern For Women Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$9.69,N.A.,N.A.,"848,257",34,62,1,Life Dominater,4.3,"""1.65"" x ""8.03"" x ""9.37""",,0.4497
B07W4HHQW3,"Aniwon Christmas Fuzzy Socks,4 Pairs Christmas Holiday Socks Soft Cozy Socks Warm Slipper Winter Socks for Women",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$9.99,$4.69,5.3,"1,048,567",20,62,2,Zoylink,4.6,"""3.5827"" x ""9.9213"" x ""11.5748""",Standard (Large),0.6173
B07HB2L6BC,"Aniwon Christmas Fuzzy Socks,6 Pairs Christmas Holiday Socks Soft Cozy Socks Warm Slipper Winter Socks for Women",Aniwon,"Clothing, Shoes & Jewelry",$191.88,12,$15.99,$5.59,10.4,"447,883",41,62,1,Zoylink,4.5,"""3.4"" x ""7"" x ""8.6""",Standard (Large),0.5997
B07W4KHJR6,"Aniwon Christmas Socks Fuzzy, 4 Pairs Holiday Fluffy Plush Slipper Socks Cute Cozy Xmas Sock Winter Warm Thick Home Socks with 3D Cute Pattern For Women Girls Gift",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$16.89,$5.72,11.17,"938,404",18,71,1,Life Dominater,4.7,"""2.5197"" x ""10.748"" x ""11.6142""",Standard (Large),0.6217
